transaction_id,timestamp,amount,currency,payment_method,status
320655,2025-02-22 19:13:44.207315,720.27,EUR,PayPal,Completed
228524,2025-02-25 19:13:44.207334,452.68,SGD,PayPal,Failed
197078,2025-02-24 19:13:44.207340,79.03,GBP,Bank Transfer,Pending
227465,2025-03-19 19:13:44.207344,88.77,SGD,Bank Transfer,Failed
638121,2025-03-09 19:13:44.207348,600.66,EUR,Bank Transfer,Pending
690279,2025-03-12 19:13:44.207351,870.2,EUR,Credit Card,Completed
640668,2025-03-12 19:13:44.207354,246.65,JPY,Bank Transfer,Completed
488906,2025-02-27 19:13:44.207357,499.88,JPY,PayPal,Failed
100589,2025-03-08 19:13:44.207362,511.76,SGD,Credit Card,Completed
449739,2025-02-25 19:13:44.207365,70.54,EUR,Credit Card,Pending
358231,2025-03-16 19:13:44.207368,748.74,SGD,PayPal,Failed
193127,2025-02-21 19:13:44.207371,561.16,EUR,Credit Card,Pending
965825,2025-03-18 19:13:44.207374,880.31,JPY,Credit Card,Pending
416036,2025-03-14 19:13:44.207377,834.25,USD,PayPal,Completed
695306,2025-03-05 19:13:44.207380,43.95,SGD,PayPal,Pending
816692,2025-03-09 19:13:44.207383,761.79,GBP,Bank Transfer,Failed
715690,2025-03-01 19:13:44.207385,352.2,USD,Bank Transfer,Completed
303662,2025-03-18 19:13:44.207388,301.27,USD,Credit Card,Completed
369652,2025-02-27 19:13:44.207391,851.47,SGD,Bank Transfer,Pending
879188,2025-02-24 19:13:44.207394,943.22,EUR,PayPal,Pending
908741,2025-03-14 19:13:44.207397,43.44,USD,Bank Transfer,Pending
100670,2025-03-03 19:13:44.207400,137.15,SGD,PayPal,Failed
573716,2025-03-09 19:13:44.207402,152.16,USD,PayPal,Pending
307178,2025-02-20 19:13:44.207405,633.86,JPY,PayPal,Completed
383789,2025-03-04 19:13:44.207408,740.15,JPY,PayPal,Completed
699768,2025-03-02 19:13:44.207411,524.19,USD,Bank Transfer,Completed
953325,2025-03-17 19:13:44.207414,924.87,GBP,PayPal,Failed
706132,2025-03-08 19:13:44.207417,70.54,JPY,PayPal,Failed
334524,2025-03-03 19:13:44.207421,931.59,EUR,PayPal,Failed
420869,2025-02-21 19:13:44.207423,900.11,SGD,Bank Transfer,Failed
306112,2025-02-20 19:13:44.207426,589.88,SGD,Bank Transfer,Pending
346423,2025-03-08 19:13:44.207429,732.19,EUR,Credit Card,Completed
882834,2025-03-10 19:13:44.207432,528.69,USD,Credit Card,Pending
877165,2025-03-09 19:13:44.207435,707.3,USD,Credit Card,Pending
780537,2025-03-18 19:13:44.207438,149.92,JPY,PayPal,Completed
179890,2025-03-12 19:13:44.207441,446.15,EUR,PayPal,Failed
776986,2025-02-25 19:13:44.207443,339.49,USD,Credit Card,Failed
892973,2025-03-12 19:13:44.207446,530.49,USD,Bank Transfer,Failed
557396,2025-03-14 19:13:44.207449,294.95,JPY,PayPal,Pending
226836,2025-03-04 19:13:44.207452,735.55,USD,Bank Transfer,Completed
135156,2025-02-19 19:13:44.207455,49.72,GBP,Bank Transfer,Pending
307410,2025-03-18 19:13:44.207458,718.39,GBP,PayPal,Pending
358159,2025-03-11 19:13:44.207460,189.18,SGD,PayPal,Pending
305775,2025-02-25 19:13:44.207463,860.38,JPY,Bank Transfer,Pending
579866,2025-02-21 19:13:44.207466,248.38,USD,Bank Transfer,Completed
700849,2025-02-26 19:13:44.207469,637.9,SGD,Bank Transfer,Failed
853197,2025-03-03 19:13:44.207472,132.01,SGD,PayPal,Completed
633896,2025-03-08 19:13:44.207475,59.41,SGD,PayPal,Pending
688511,2025-03-14 19:13:44.207478,564.73,GBP,PayPal,Failed
325629,2025-03-06 19:13:44.207481,49.27,EUR,Bank Transfer,Failed
614140,2025-03-16 19:13:44.207484,204.52,EUR,PayPal,Failed
729690,2025-02-19 19:13:44.207488,74.34,JPY,PayPal,Failed
303496,2025-03-12 19:13:44.207491,643.07,EUR,Credit Card,Pending
993885,2025-03-04 19:13:44.207494,437.08,EUR,Bank Transfer,Pending
249482,2025-02-21 19:13:44.207497,935.42,JPY,Bank Transfer,Completed
332603,2025-02-21 19:13:44.207500,377.37,EUR,PayPal,Completed
189392,2025-02-25 19:13:44.207502,610.31,GBP,Bank Transfer,Pending
982858,2025-03-18 19:13:44.207505,30.16,SGD,Credit Card,Pending
676657,2025-03-11 19:13:44.207508,523.82,EUR,PayPal,Pending
193641,2025-02-25 19:13:44.207511,882.46,JPY,PayPal,Completed
460409,2025-03-03 19:13:44.207514,477.55,GBP,Bank Transfer,Pending
